# Rime user dictionary
#@/db_name	zzdyx_mod
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	767
#@/user_id	51f52ce6-8ac7-40dc-9ee8-cd3eec19048d
vk 	”	c=5 d=2.73893 t=732
vn 	——	c=3 d=2.30862 t=720
vv 	？	c=2 d=1.29523 t=569
w 	为	c=1 d=1 t=758
wdo 	渭	c=1 d=1 t=14
wgd 	王	c=1 d=1 t=52
wgll 	无论	c=1 d=1 t=356
whin 	文字	c=1 d=1 t=581
whk 	文	c=1 d=1 t=584
wig 	味	c=2 d=1.97531 t=428
wigk 	吴	c=1 d=1 t=422
wjhj 	问候	c=1 d=1 t=215
wji 	问	c=1 d=1 t=441
wjil 	伪证	c=1 d=1 t=195
wjil 	问诊	c=1 d=1 t=197
wjmk 	伪	c=1 d=1 t=690
wkbl 	微波炉	c=2 d=1.90937 t=628
wkrs 	微软	c=1 d=1 t=102
wm 	翁	c=1 d=1 t=757
woya 	网页	c=1 d=1 t=136
wwa 	危	c=1 d=1 t=48
xayv 	咸阳	c=1 d=1 t=13
xc 	想	c=1 d=1 t=653
xcdr 	想当然	c=1 d=1 t=268
xcdy 	相当于	c=1 d=1 t=554
xdxr 	消息	c=1 d=1 t=45
xf 	下	c=2 d=1.0435 t=696
xfan 	西安	c=1 d=1 t=12
xflh 	下来	c=1 d=1 t=138
xh 	新	c=1 d=1 t=44
xj 	像	c=2 d=1.88692 t=482
xk 	行	c=2 d=1.04665 t=650
xkg 	行	c=1 d=1 t=321
xlmw 	熊猫	c=1 d=1 t=587
xn 	性	c=1 d=1 t=244
xnyk 	宣扬	c=1 d=1 t=189
xp 	小	c=1 d=1 t=572
xpsl 	小说	c=1 d=1 t=583
xr 	向	c=1 d=1 t=374
xrt 	星	c=1 d=1 t=408
xt 	先	c=1 d=1 t=698
xtik 	选择	c=1 d=1 t=145
xuhl 	喜欢	c=2 d=1.47711 t=594
xxo 	细	c=1 d=1 t=54
xy 	些	c=3 d=2.91708 t=723
y 	一	c=12 d=6.53529 t=722
yaf 	硬	c=3 d=2.93131 t=748
yawh 	原文	c=1 d=1 t=371
yawh 	愿望	c=1 d=1 t=370
yb 	已	c=1 d=1 t=46
